entity,requirement,source_logic
CourseTemplate,"Создать шаблон курса на 72 часа с названием программы, описанием, версией, организацией, уровнем dpo и статусом draft/review/published.",Шаблон курса хранит содержание и переиспользуется для разных запусков.
CourseModule,"Создать 8 модулей с orderIndex 1-8, estimatedHours согласно учебному плану, completionRule по завершению обязательных уроков и контрольных элементов.",Модульная структура является основой учебно-тематического плана.
Lesson,"Для каждой темы создать урок или учебный элемент с estimatedMinutes/estimatedHours, lessonType video/text/mixed/assignment_intro, completionRule.",Темы плана должны быть загружаемыми единицами курса.
CourseResource,"К каждому уроку привязать видео, конспект, шаблон, пример хорошего результата или чек-лист в зависимости от типа темы.",Материалы хранятся отдельно через StorageObject.
AssessmentItem,"Для каждого модуля создать минимум один контрольный элемент: тест, практическое задание, сценарный тест или итоговый проект.",Каждая компетенция подтверждается артефактом и тестом.
GradeScheme,Для тестов использовать automatic/points или pass_fail; для артефактов manual/rubric или ai_assisted с подтверждением преподавателем.,Оценивание должно поддерживать разные схемы и единый интерфейс результата.
CourseRun,"Создать запуск курса для группы слушателей с датами начала/окончания, часовым поясом и статусом planned/active/completed.","Запуск курса хранит сроки, дедлайны и участников."
AvailabilityRule,"Настроить даты открытия, дедлайны и закрытия модулей, уроков и AssessmentItem по выбранному календарному графику.",Дедлайны должны храниться и отображаться по часовому поясу организации/пользователя.
Enrollment,"Зачислить слушателей в CourseRun, отслеживать progressPercent, startedAt, completedAt, finalStatus.",Слушатель видит назначенный курс и прогресс.
IssuedCertificate,"После завершения курса подготовить техническую основу фиксации часов, компетенций, итогового статуса и регистрационного номера.",Юридический порядок выдачи требует отдельного согласования.
